item_id,sheet,frame_index,palette_number,palette_has_purple_ramp,opaque_pixels,dye_slot_pixels,dye_slot_pct,slot_mask,distinct_slots,dyeable_loose,dyeable_strict_all_six
1,1,0,0,True,212,0,0.00,0,0,False,False
2,1,1,0,True,213,0,0.00,0,0,False,False
3,1,2,0,True,213,0,0.00,0,0,False,False
4,1,3,0,True,213,0,0.00,0,0,False,False
5,1,4,0,True,213,0,0.00,0,0,False,False
6,1,5,0,True,213,0,0.00,0,0,False,False
7,1,6,0,True,213,0,0.00,0,0,False,False
8,1,7,0,True,356,0,0.00,0,0,False,False
9,1,8,0,True,535,0,0.00,0,0,False,False
10,1,9,0,True,213,11,5.16,56,3,True,False
11,1,10,0,True,272,163,59.93,42,3,True,False
12,1,11,0,True,200,85,42.50,50,3,True,False
13,1,12,0,True,264,0,0.00,0,0,False,False
14,1,13,0,True,273,0,0.00,0,0,False,False
15,1,14,0,True,288,0,0.00,0,0,False,False
16,1,15,0,True,221,0,0.00,0,0,False,False
17,1,16,0,True,473,0,0.00,0,0,False,False
18,1,17,0,True,248,0,0.00,0,0,False,False
19,1,18,0,True,160,0,0.00,0,0,False,False
20,1,19,0,True,168,0,0.00,0,0,False,False
21,1,20,0,True,168,0,0.00,0,0,False,False
22,1,21,0,True,168,0,0.00,0,0,False,False
23,1,22,0,True,168,0,0.00,0,0,False,False
24,1,23,0,True,624,0,0.00,0,0,False,False
25,1,24,0,True,519,0,0.00,0,0,False,False
26,1,25,0,True,583,29,4.97,60,4,True,False
27,1,26,0,True,201,0,0.00,0,0,False,False
28,1,27,0,True,114,0,0.00,0,0,False,False
29,1,28,0,True,143,0,0.00,0,0,False,False
30,1,29,0,True,523,0,0.00,0,0,False,False
31,1,30,0,True,288,1,0.35,8,1,True,False
32,1,31,0,True,270,1,0.37,8,1,True,False
33,1,32,0,True,149,0,0.00,0,0,False,False
34,1,33,0,True,70,0,0.00,0,0,False,False
35,1,34,0,True,146,0,0.00,0,0,False,False
36,1,35,0,True,112,0,0.00,0,0,False,False
37,1,36,0,True,283,0,0.00,0,0,False,False
38,1,37,0,True,220,0,0.00,0,0,False,False
39,1,38,0,True,128,0,0.00,0,0,False,False
40,1,39,0,True,143,0,0.00,0,0,False,False
41,1,40,0,True,256,0,0.00,0,0,False,False
42,1,41,0,True,197,0,0.00,0,0,False,False
43,1,42,0,True,156,0,0.00,0,0,False,False
44,1,43,0,True,232,0,0.00,0,0,False,False
45,1,44,0,True,232,0,0.00,0,0,False,False
46,1,45,0,True,232,0,0.00,0,0,False,False
47,1,46,0,True,232,0,0.00,0,0,False,False
48,1,47,0,True,232,0,0.00,0,0,False,False
49,1,48,0,True,232,0,0.00,0,0,False,False
50,1,49,0,True,232,0,0.00,0,0,False,False
51,1,50,0,True,232,0,0.00,0,0,False,False
52,1,51,0,True,232,0,0.00,0,0,False,False
53,1,52,0,True,232,0,0.00,0,0,False,False
54,1,53,0,True,178,0,0.00,0,0,False,False
55,1,54,0,True,178,0,0.00,0,0,False,False
56,1,55,0,True,178,0,0.00,0,0,False,False
57,1,56,0,True,178,0,0.00,0,0,False,False
58,1,57,0,True,178,0,0.00,0,0,False,False
59,1,58,0,True,178,84,47.19,63,6,True,True
60,1,59,0,True,178,0,0.00,0,0,False,False
61,1,60,0,True,178,0,0.00,0,0,False,False
62,1,61,0,True,178,0,0.00,0,0,False,False
63,1,62,0,True,178,0,0.00,0,0,False,False
64,1,63,0,True,178,0,0.00,0,0,False,False
65,1,64,0,True,198,0,0.00,0,0,False,False
66,1,65,0,True,115,0,0.00,0,0,False,False
67,1,66,0,True,201,0,0.00,0,0,False,False
68,1,67,0,True,123,0,0.00,0,0,False,False
69,1,68,0,True,295,0,0.00,0,0,False,False
70,1,69,0,True,123,0,0.00,0,0,False,False
71,1,70,0,True,302,0,0.00,0,0,False,False
72,1,71,0,True,302,0,0.00,0,0,False,False
73,1,72,0,True,302,0,0.00,0,0,False,False
74,1,73,0,True,174,0,0.00,0,0,False,False
75,1,74,0,True,174,0,0.00,0,0,False,False
76,1,75,0,True,174,0,0.00,0,0,False,False
77,1,76,0,True,174,0,0.00,0,0,False,False
78,1,77,0,True,164,0,0.00,0,0,False,False
79,1,78,0,True,164,0,0.00,0,0,False,False
80,1,79,0,True,152,0,0.00,0,0,False,False
81,1,80,0,True,198,0,0.00,0,0,False,False
82,1,81,0,True,235,0,0.00,0,0,False,False
83,1,82,0,True,186,0,0.00,0,0,False,False
84,1,83,0,True,191,0,0.00,0,0,False,False
85,1,84,0,True,315,0,0.00,0,0,False,False
86,1,85,0,True,50,0,0.00,0,0,False,False
